,16674,20216,38242
31942,1,1,1
31943,1,1,1
31944,1,1,1
31945,1,1,1
31946,1,1,1
31947,1,1,1
31948,1,1,1
31949,1,1,1
31950,1,1,1
31951,1,1,1
31952,1,1,1
31953,1,1,1
31954,0,0,1
31955,0,0,0
31956,0,0,0
31957,0,0,0
31958,1,1,1
31959,1,1,1
31960,1,1,1
31961,1,1,1
31962,1,1,1
31963,1,1,1
31964,1,1,1
31965,1,1,1
31966,1,1,1
31967,1,1,1
31968,1,1,1
31970,1,1,1
31971,1,1,1
31972,1,1,1
31973,1,1,1
31974,1,1,1
31975,1,1,1
31976,1,1,1
31977,1,1,1
31978,1,1,1
31979,1,1,1
31980,1,1,1
31981,1,1,1
31982,1,1,1
31983,1,1,1
31985,1,1,1
31986,1,1,1
31987,1,1,1
31988,1,1,1
31989,1,1,1
31990,0,0,0
31991,0,0,0
31992,0,0,0
31993,0,0,0
31994,0,0,0
31995,0,0,0
31996,0,0,0
31997,0,0,0
31998,0,0,0
32000,0,0,0
32001,0,0,0
32002,0,0,0
32003,0,0,0
32004,0,0,0
32005,0,0,0
32006,0,0,0
32007,0,0,0
32008,1,0,0
32009,0,0,0
32010,0,0,0
32011,0,0,0
32012,0,0,0
32013,0,0,0
32014,0,0,0
32019,0,0,0
32020,0,0,0
32021,0,0,0
32022,0,0,0
32080,0,0,0
32081,0,0,0
32082,0,0,0
32083,0,0,0
32084,0,0,0
32085,0,0,0
32086,0,0,0
32087,0,0,0
32088,0,0,0
32089,0,0,0
32090,0,0,0
32091,0,0,0
32093,0,0,0
32094,0,0,0
32098,1,1,1
32099,1,1,1
32100,1,1,1
32101,1,1,1
32102,1,1,1
32103,1,1,1
32104,0,0,0
32105,0,0,0
32107,0,0,0
32108,1,1,1
32109,1,1,1
32110,1,1,1
32111,1,1,1
32112,1,1,1
32113,1,1,1
32114,1,1,1
32115,1,1,1
32116,1,1,1
32117,1,1,1
32118,1,1,1
32119,1,1,1
32121,1,1,1
32122,1,1,1
32123,1,1,1
32124,1,1,1
32125,1,1,1
32126,1,1,1
32127,1,1,1
32128,1,1,1
32129,1,1,1
32130,1,1,1
32131,1,1,1
32132,1,1,1
32134,1,1,1
32135,1,1,1
32136,1,1,1
32137,1,1,1
32138,1,1,1
32139,1,1,1
32140,1,1,1
32141,1,1,1
32142,1,1,1
32143,1,1,1
32144,1,1,1
32146,1,0,1
32147,0,0,1
32148,0,0,0
32149,0,0,0
32150,0,0,0
32151,0,0,0
32152,0,0,0
32153,0,0,0
32154,0,0,0
32155,0,0,0
32156,0,0,0
32157,0,0,0
32159,0,0,0
32160,0,0,0
32161,0,0,0
32162,0,0,0
32163,0,0,0
32164,0,0,0
32165,0,0,0
32166,0,0,0
32167,0,0,0
32168,0,0,0
32169,0,0,0
32171,0,0,0
32172,0,0,0
32173,0,0,0
32174,0,0,0
32175,0,0,0
32176,0,0,0
32177,0,0,0
32178,0,0,0
32179,0,0,0
32180,0,0,0
32181,0,0,0
32183,0,0,0
32184,0,0,0
32185,0,0,0
32186,0,0,0
32187,0,0,0
32188,0,0,0
32189,0,0,0
32190,0,0,0
32191,0,0,0
