,strain,genus,species,elevation,pH,temperature,moisture,media_LB,media_SF900,province_chaiyaphum,province_kalasin,province_kamphaengphet,province_lampang,province_mahasarakham,province_nakhonratchasima,province_phetchabuns,province_phitsanulok,province_saraburi,province_udonthani,soiltype_clay loam,soiltype_loam,soiltype_sand,soiltype_sandy loam
19777,409,Xenorhabdus,stockiae,5.231108616854587,0.8888888888888884,0.7142857142857144,0.06666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19789,409,Xenorhabdus,stockiae,5.231108616854587,0.8888888888888884,0.7142857142857144,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19817,432,Photorhabdus,luminescens,5.497168225293202,0.7777777777777772,0.5714285714285714,0.13333333333333336,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19818,433,Photorhabdus,luminescens,5.497168225293202,0.8888888888888884,0.6428571428571428,0.06666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19819,434,Photorhabdus,luminescens,5.545177444479562,0.8888888888888884,0.6428571428571428,0.06666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19820,435,Xenorhabdus,stockiae,5.3981627015177525,0.6666666666666665,0.5714285714285714,0.33333333333333337,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19821,436,Xenorhabdus,stockiae,5.3981627015177525,0.8888888888888884,0.6428571428571428,0.06666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19822,437,Photorhabdus,luminescens,6.785587645007929,1.0,0.3571428571428572,0.06666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19824,438,Photorhabdus,luminescens,7.153833801578843,0.8888888888888884,0.2857142857142858,0.2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19840,432,Photorhabdus,luminescens,5.497168225293202,0.7777777777777772,0.5714285714285714,0.13333333333333336,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19841,433,Photorhabdus,luminescens,5.497168225293202,0.8888888888888884,0.6428571428571428,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19842,434,Photorhabdus,luminescens,5.545177444479562,0.8888888888888884,0.6428571428571428,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19844,435,Xenorhabdus,stockiae,5.3981627015177525,0.6666666666666665,0.5714285714285714,0.33333333333333337,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19845,436,Xenorhabdus,stockiae,5.3981627015177525,0.8888888888888884,0.6428571428571428,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19846,437,Photorhabdus,luminescens,6.785587645007929,1.0,0.3571428571428572,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19847,438,Photorhabdus,luminescens,7.153833801578843,0.8888888888888884,0.2857142857142858,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19849,439,Photorhabdus,luminescens,7.149131598557407,0.7777777777777772,0.2142857142857144,0.2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19850,440,Photorhabdus,temperata,7.163946684342547,0.8888888888888884,0.2857142857142858,0.2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19851,441,Photorhabdus,luminescens,7.163946684342547,0.6666666666666665,0.2142857142857144,0.26666666666666666,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19852,442,Photorhabdus,luminescens,7.163946684342547,0.7777777777777772,0.2142857142857144,0.2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19854,443,Photorhabdus,luminescens,7.150701457592526,0.8888888888888884,0.2142857142857144,0.2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19855,444,Photorhabdus,luminescens,7.160845906664299,0.8888888888888884,0.2142857142857144,0.2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19856,445,Photorhabdus,luminescens,5.4510384535657,0.8888888888888884,0.6428571428571428,0.13333333333333336,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19858,447,Photorhabdus,luminescens,5.176149732573829,0.7777777777777772,0.6428571428571428,0.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19859,448,Photorhabdus,luminescens,5.327876168789581,0.8888888888888884,0.6428571428571428,0.13333333333333336,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19860,449,Xenorhabdus,stockiae,5.288267030694535,0.7777777777777772,0.5714285714285714,0.2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19862,451,Photorhabdus,luminescens,6.748759547491679,0.8888888888888884,0.3571428571428572,0.13333333333333336,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19864,452,Xenorhabdus,vietnamensis,6.739336627357174,0.8888888888888884,0.4285714285714286,0.13333333333333336,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19865,453,Xenorhabdus,vietnamensis,6.739336627357174,0.8888888888888884,0.4285714285714286,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19867,439,Photorhabdus,luminescens,7.149131598557407,0.7777777777777772,0.2142857142857144,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19868,440,Photorhabdus,temperata,7.163946684342547,0.8888888888888884,0.2857142857142858,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19869,441,Photorhabdus,luminescens,7.163946684342547,0.6666666666666665,0.2142857142857144,0.26666666666666666,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19870,442,Photorhabdus,luminescens,7.163946684342547,0.7777777777777772,0.2142857142857144,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19871,443,Photorhabdus,luminescens,7.150701457592526,0.8888888888888884,0.2142857142857144,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19873,444,Photorhabdus,luminescens,7.160845906664299,0.8888888888888884,0.2142857142857144,0.2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
